"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",25.842,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",27.57,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",28.209,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",27.004,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",27.828,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",26.901,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",27.448,
"KOR","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",27.447,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",16.168,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",14.949,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",13.148,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",12.561,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",13.202,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",12.862,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",11.515,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",11.921,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",10.16,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",10.628,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",9.933,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",9.855,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",10.154,
"LUX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",10.089,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",33.591,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",32.71,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",30.248,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",23.122,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",21.484,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",24.59,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",22.704,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",23.508,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",21.961,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",22.042,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",21.213,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",20.365,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",20.361,
"MEX","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",20.108,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",19.78,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",18.409,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",16.793,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",15.3,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",15.71,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",15.51,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",13.819,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",12.734,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",12.192,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",12.651,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",11.523,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",12.423,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",12.073,
"NLD","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",12.033,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1990",6.821,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","1995",6.766,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2000",6.757,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2005",6.354,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2010",6.294,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2011",6.105,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2012",6.228,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2013",6.257,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2014",6.049,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2015",6.004,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2016",6.078,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2017",5.984,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2018",6.035,
"NZL","POLLUTIONEXP","EXPOS2PM25","MICGRCUBM","A","2019",6.05,
